county_name,fips,latitude,longitude,year,total_pop,median_income,median_home_value,price_to_income,median_gross_rent,rent_burden_pct,severe_rent_burden_pct,total_housing_units,housing_units_per_1k,vacancy_rate_pct,homeownership_pct,homeownership_white_nh_pct,homeownership_black_pct,homeownership_hispanic_pct,poverty_rate_pct,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,pct_aian_nh
Christian,17021,39.545710791907055,-89.27726824183375,2014,34415,45727,84100,1.84,606,37.3,17.1,15536,451.4,9.3,74,74.1,37.5,50,14.8,95.4,1.9,0.3,1.5,0.1
Christian,17021,39.545710791907055,-89.27726824183375,2016,33888,47417,85200,1.8,624,34.5,12.5,15501,457.4,10.3,74.7,75,37.8,48.9,13.6,95.2,1.5,0.5,1.5,0.3
Christian,17021,39.545710791907055,-89.27726824183375,2018,33231,52415,90000,1.72,661,34.2,14,15616,469.9,10.7,74.5,74.7,54.8,69.5,13,95.1,1.3,0.6,1.6,0.2
Christian,17021,39.545710791907055,-89.27726824183375,2020,32705,52120,93200,1.79,677,32.1,15.1,15592,476.7,10.4,73.9,74.4,50.6,91.4,10.6,94.9,1.5,0.7,1.6,0.2
Christian,17021,39.545710791907055,-89.27726824183375,2022,33893,56933,108800,1.91,705,31.4,17.1,15210,448.8,11.4,76.8,77.4,12,67.8,11.9,93,2.6,0.7,2,0.1
Clark,17023,39.33358182361092,-87.78773008727572,2014,16240,50412,88100,1.75,607,35.2,11.7,7746,477,13.6,74.9,75,NA,26.3,13.3,97.1,0.4,0.4,1.3,0
Clark,17023,39.33358182361092,-87.78773008727572,2016,16089,48693,84600,1.74,640,35,12,7759,482.3,14,74.6,74.8,100,31.7,16.3,96.8,0.4,0.4,1.4,0
Clark,17023,39.33358182361092,-87.78773008727572,2018,15836,54158,87800,1.62,699,32.7,11,7797,492.4,13.1,73.9,73.9,100,57.8,12.6,96.6,0.3,0.5,1.6,0.1
Clark,17023,39.33358182361092,-87.78773008727572,2020,15602,59481,94900,1.6,697,33.4,14.4,7822,501.3,14,78,78.6,0,50,8.7,96.6,0.5,0.1,1.6,0.1
Clark,17023,39.33358182361092,-87.78773008727572,2022,15467,65874,112400,1.71,816,45.9,24.7,7365,476.2,12.5,80.7,81,0,100,9,96.2,0.8,0.2,1.7,0
Clay,17025,38.754129631572276,-88.49020981230579,2014,13675,43189,76000,1.76,508,23.1,10.2,6384,466.8,15.3,80,80.4,NA,100,13.9,96.5,0.4,0.1,1.3,0.4
Clay,17025,38.754129631572276,-88.49020981230579,2016,13466,45984,76500,1.66,515,22,10.3,6363,472.5,12.2,77.6,78.2,NA,78.9,14.1,96.5,0.6,0.3,1.4,0.2
Clay,17025,38.754129631572276,-88.49020981230579,2018,13338,48691,81700,1.68,578,27.9,13.4,6428,481.9,12.3,77,77.7,NA,27.3,16,96.2,0.5,0.3,1.5,0.1
Clay,17025,38.754129631572276,-88.49020981230579,2020,13217,52167,84400,1.62,625,23.4,9.6,6452,488.2,13.1,74.3,74.8,NA,33.3,16.8,96,0.4,0.5,0.2,0.2
Clay,17025,38.754129631572276,-88.49020981230579,2022,13248,58028,103600,1.79,706,24.7,5.9,6171,465.8,11.2,76.7,77.1,NA,0,15.7,95.3,0.5,0.3,0.2,0.6
Clinton,17027,38.606486880044415,-89.42259110580179,2014,37952,62407,130700,2.09,735,31.4,17.7,15443,406.9,9.7,82.7,83.2,65.5,75.1,9.3,91.8,3.4,0.5,3,0.2
Clinton,17027,38.606486880044415,-89.42259110580179,2016,37858,63929,141200,2.21,751,33,20,15539,410.5,9.8,82.4,82.6,86.6,70.2,9.5,91.6,3.4,0.5,3,0.3
Clinton,17027,38.606486880044415,-89.42259110580179,2018,37628,65010,148100,2.28,791,35.4,19.9,15780,419.4,10.1,78.9,79.4,55.7,53.8,9,91.5,3.5,0.6,3.1,0.3
Clinton,17027,38.606486880044415,-89.42259110580179,2020,37549,67179,145700,2.17,777,38.7,14.6,15909,423.7,8.3,79.6,80.7,44.6,53.4,7.8,91.1,3.2,0.6,3.2,0.2
Clinton,17027,38.606486880044415,-89.42259110580179,2022,36998,78054,171500,2.2,888,36.7,19.1,15628,422.4,7.3,79.6,81.2,57.1,30.4,7.2,91.1,2.9,0.6,3.3,0
Coles,17029,39.5202836991237,-88.22177600708343,2014,53655,38174,90400,2.37,627,52.5,31.2,23479,437.6,10.5,61.5,63.9,17.2,29.6,22.9,91.3,3.5,1,2.3,0.1
Coles,17029,39.5202836991237,-88.22177600708343,2016,52802,38800,92800,2.39,637,49.7,28.4,23425,443.6,10,61.3,63.3,13.6,28.9,21.9,91.3,3.7,1.1,2.3,0.2
Coles,17029,39.5202836991237,-88.22177600708343,2018,51736,44071,97600,2.21,671,46.4,27.4,23526,454.7,10.1,61.6,63.5,19.1,25.7,21.5,91,3.7,1.2,2.5,0.2
Coles,17029,39.5202836991237,-88.22177600708343,2020,51065,46411,105100,2.26,678,43.3,21.8,23481,459.8,10.7,60.1,61.8,19.5,23.4,20.5,90.7,3.9,1,2.7,0.1
Coles,17029,39.5202836991237,-88.22177600708343,2022,47076,53732,114000,2.12,778,40.4,19.9,22786,484,10.5,60,61.8,22.2,19.4,19.4,89.7,3.5,0.9,2.9,0
Cook,17031,41.83962635779894,-87.81616888240244,2014,5227827,54828,222200,4.05,976,49.6,27,2177033,416.4,11,57.6,69,40.5,48.7,17.2,43.4,23.9,6.6,24.5,0.1
Cook,17031,41.83962635779894,-87.81616888240244,2016,5227575,56902,219800,3.86,999,48,25.7,2177342,416.5,10.4,56.6,68,39.8,48.5,16.7,42.9,23.6,6.8,24.9,0.1
Cook,17031,41.83962635779894,-87.81616888240244,2018,5223719,62088,237200,3.82,1091,47.2,24.7,2188394,418.9,10.3,56.9,68,39.8,49.9,15.1,42.5,23.2,7.1,25.2,0.1
Cook,17031,41.83962635779894,-87.81616888240244,2020,5169517,67886,255500,3.76,1160,44.9,23.2,2198489,425.3,9.4,57.2,67.8,40.5,51.6,13.7,42,22.9,7.4,25.3,0.1
Cook,17031,41.83962635779894,-87.81616888240244,2022,5225367,78304,293700,3.75,1318,45.2,23.6,2261319,432.8,8.6,57.5,67.6,40.9,53.4,13.4,41.1,22.4,7.6,25.9,0.1
Crawford,17033,39.00265169273086,-87.75949869055816,2014,19626,46057,79100,1.72,573,35.7,20.4,8655,441,11.7,80.1,80.7,88,18.4,13.7,91.4,3.1,0.5,2,0.6
Crawford,17033,39.00265169273086,-87.75949869055816,2016,19441,47364,82000,1.73,576,37,18.8,8657,445.3,12.2,79.3,79.8,67.4,73.7,12.3,91.1,4.2,0.4,2.1,0.1
Crawford,17033,39.00265169273086,-87.75949869055816,2018,19088,49233,87000,1.77,633,39.8,24.1,8683,454.9,11.9,78.2,78.8,57.1,55.3,11.6,88.1,5.7,0.7,3.5,0.1
Crawford,17033,39.00265169273086,-87.75949869055816,2020,18833,50968,94100,1.85,650,39.5,24.2,8680,460.9,11.2,76.8,76.7,75,81,11.5,90.9,5.7,0.1,2.3,0
Crawford,17033,39.00265169273086,-87.75949869055816,2022,18729,64163,108200,1.69,763,28,12.5,8481,452.8,11.8,79,78.5,NA,98.9,9.6,90.8,4.5,0.4,2.5,0.1
Cumberland,17035,39.27337377033135,-88.24019487534677,2014,10950,43825,87100,1.99,510,26.2,13.7,4875,445.2,13.2,80.7,81.2,NA,42.9,14.8,97.3,0.4,1,0.7,0.3
Cumberland,17035,39.27337377033135,-88.24019487534677,2016,10890,44281,91600,2.07,522,26.8,12.3,4854,445.7,13.3,79.7,79.4,NA,100,16.3,96.9,0.2,0.3,1.4,0.3
